city,date,rate
Ahmedabad,2021-04-02,87.7
Ahmedabad,2021-04-03,87.7
Ahmedabad,2021-04-04,87.7
Ahmedabad,2021-04-05,87.7
Ahmedabad,2021-04-06,87.7
Ahmedabad,2021-04-07,87.7
Ahmedabad,2021-04-08,87.7
Ahmedabad,2021-04-09,87.7
Ahmedabad,2021-04-10,87.7
Ahmedabad,2021-04-11,87.7
Ahmedabad,2021-04-12,87.7
Ahmedabad,2021-04-13,87.7
Ahmedabad,2021-04-14,87.7
Ahmedabad,2021-04-15,87.55
Ahmedabad,2021-04-16,87.55
Ahmedabad,2021-04-17,87.55
Ahmedabad,2021-04-18,87.55
Ahmedabad,2021-04-19,87.55
Ahmedabad,2021-04-20,87.55
Ahmedabad,2021-04-21,87.55
Ahmedabad,2021-04-22,87.55
Ahmedabad,2021-04-23,87.55
Ahmedabad,2021-04-24,87.55
Ahmedabad,2021-04-25,87.55
Ahmedabad,2021-04-26,87.55
Ahmedabad,2021-04-27,87.55
Ahmedabad,2021-04-28,87.55
Ahmedabad,2021-04-29,87.55
Ahmedabad,2021-04-30,87.55
Ahmedabad,2021-05-01,87.55
Ahmedabad,2021-05-02,87.55
Ahmedabad,2021-05-03,87.55
Ahmedabad,2021-05-04,87.73
Ahmedabad,2021-05-05,87.91
Ahmedabad,2021-05-06,88.15
Ahmedabad,2021-05-07,88.42
Ahmedabad,2021-05-08,88.42
Ahmedabad,2021-05-09,88.42
Ahmedabad,2021-05-10,88.68
Ahmedabad,2021-05-11,88.94
Ahmedabad,2021-05-12,89.18
Ahmedabad,2021-05-13,89.18
Ahmedabad,2021-05-14,89.46
Ahmedabad,2021-05-15,89.46
Ahmedabad,2021-05-16,89.69
Ahmedabad,2021-05-17,89.69
Ahmedabad,2021-05-18,89.95
Ahmedabad,2021-05-19,89.95
Ahmedabad,2021-05-20,89.95
Ahmedabad,2021-05-21,90.14
Ahmedabad,2021-05-22,90.14
Ahmedabad,2021-05-23,90.3
Ahmedabad,2021-05-24,90.3
Ahmedabad,2021-05-25,90.52
Ahmedabad,2021-05-26,90.52
Ahmedabad,2021-05-27,90.76
Ahmedabad,2021-05-28,90.76
Ahmedabad,2021-05-29,91.01
Ahmedabad,2021-05-30,91.01
Ahmedabad,2021-05-31,91.29
Ahmedabad,2021-06-01,91.54
Ahmedabad,2021-06-02,91.54
Ahmedabad,2021-06-03,91.54
Ahmedabad,2021-06-04,91.8
Ahmedabad,2021-06-05,91.8
Ahmedabad,2021-06-06,92.06
Ahmedabad,2021-06-07,92.33
Ahmedabad,2021-06-08,92.33
Ahmedabad,2021-06-09,92.57
Ahmedabad,2021-06-10,92.57
Ahmedabad,2021-06-11,92.86
Ahmedabad,2021-06-12,93.12
Ahmedabad,2021-06-13,93.12
Ahmedabad,2021-06-14,93.4
Ahmedabad,2021-06-15,93.4
Ahmedabad,2021-06-16,93.64
Ahmedabad,2021-06-17,93.64
Ahmedabad,2021-06-18,93.9
Ahmedabad,2021-06-19,93.9
Ahmedabad,2021-06-20,94.18
Ahmedabad,2021-06-21,94.18
Ahmedabad,2021-06-22,94.45
Ahmedabad,2021-06-23,94.45
Ahmedabad,2021-06-24,94.7
Ahmedabad,2021-06-25,94.7
Ahmedabad,2021-06-26,95.04
Ahmedabad,2021-06-27,95.38
Ahmedabad,2021-06-28,95.38
Ahmedabad,2021-06-29,95.72
Ahmedabad,2021-06-30,95.72
Ahmedabad,2021-07-01,95.72
Ahmedabad,2021-07-02,96.06
Ahmedabad,2021-07-03,96.06
Ahmedabad,2021-07-04,96.4
Ahmedabad,2021-07-05,96.73
Ahmedabad,2021-07-06,96.73
Ahmedabad,2021-07-07,97.07
Ahmedabad,2021-07-08,97.41
Ahmedabad,2021-07-09,97.41
Ahmedabad,2021-07-10,97.75
Ahmedabad,2021-07-11,97.75
Ahmedabad,2021-07-12,98.02
Ahmedabad,2021-07-13,98.02
Ahmedabad,2021-07-14,98.02
Ahmedabad,2021-07-15,98.36
Ahmedabad,2021-07-16,98.36
Ahmedabad,2021-07-17,98.65
Ahmedabad,2021-07-18,98.65
Ahmedabad,2021-07-19,98.65
Ahmedabad,2021-07-20,98.65
Ahmedabad,2021-07-21,98.65
Ahmedabad,2021-07-22,98.65
Ahmedabad,2021-07-23,98.65
Ahmedabad,2021-07-24,98.65
Ahmedabad,2021-07-25,98.65
Ahmedabad,2021-07-26,98.65
Ahmedabad,2021-07-27,98.65
Ahmedabad,2021-07-28,98.65
Ahmedabad,2021-07-29,98.65
Ahmedabad,2021-07-30,98.65
Ahmedabad,2021-07-31,98.65
Ahmedabad,2021-08-01,98.65
Ahmedabad,2021-08-02,98.65
Ahmedabad,2021-08-03,98.65
Ahmedabad,2021-08-04,98.65
Ahmedabad,2021-08-05,98.65
Ahmedabad,2021-08-06,98.65
Ahmedabad,2021-08-07,98.65
Ahmedabad,2021-08-08,98.65
Ahmedabad,2021-08-09,98.65
Ahmedabad,2021-08-10,98.65
Ahmedabad,2021-08-11,98.65
Ahmedabad,2021-08-12,98.65
Ahmedabad,2021-08-13,98.65
Ahmedabad,2021-08-14,98.65
Ahmedabad,2021-08-15,98.65
Ahmedabad,2021-08-16,98.65
Ahmedabad,2021-08-17,98.65
Ahmedabad,2021-08-18,98.65
Ahmedabad,2021-08-19,98.65
Ahmedabad,2021-08-20,98.65
Ahmedabad,2021-08-21,98.65
Ahmedabad,2021-08-22,98.5
Ahmedabad,2021-08-23,98.5
Ahmedabad,2021-08-24,98.36
Ahmedabad,2021-08-25,98.36
Ahmedabad,2021-08-26,98.36
Ahmedabad,2021-08-27,98.36
Ahmedabad,2021-08-28,98.36
Ahmedabad,2021-08-29,98.36
Ahmedabad,2021-08-30,98.36
Ahmedabad,2021-08-31,98.36
Ahmedabad,2021-09-01,98.21
Ahmedabad,2021-09-02,98.21
Ahmedabad,2021-09-03,98.21
Ahmedabad,2021-09-05,98.05
Ahmedabad,2021-09-06,98.05
Ahmedabad,2021-09-07,98.05
Ahmedabad,2021-09-08,98.05
Ahmedabad,2021-09-09,98.05
Ahmedabad,2021-09-10,98.05
Ahmedabad,2021-09-11,98.05
Ahmedabad,2021-09-12,98.05
Ahmedabad,2021-09-13,98.05
Ahmedabad,2021-09-14,98.05
Ahmedabad,2021-09-15,98.05
Ahmedabad,2021-09-16,98.05
Ahmedabad,2021-09-17,98.05
Ahmedabad,2021-09-18,98.05
Ahmedabad,2021-09-19,98.05
Ahmedabad,2021-09-20,98.05
Ahmedabad,2021-09-21,98.05
Ahmedabad,2021-09-22,98.05
Ahmedabad,2021-09-23,98.05
Ahmedabad,2021-09-24,98.05
Ahmedabad,2021-09-25,98.05
Ahmedabad,2021-09-26,98.05
Ahmedabad,2021-09-27,98.05
Ahmedabad,2021-09-28,98.23
Ahmedabad,2021-09-29,98.23
Ahmedabad,2021-09-30,98.46
Ahmedabad,2021-10-01,98.69
Ahmedabad,2021-10-02,98.93
Ahmedabad,2021-10-03,99.18
Ahmedabad,2021-10-04,99.18
Ahmedabad,2021-10-05,99.42
Ahmedabad,2021-10-06,99.71
Ahmedabad,2021-10-07,100.0
Ahmedabad,2021-10-08,100.29
Ahmedabad,2021-10-10,100.87
Ahmedabad,2021-10-11,101.16
Ahmedabad,2021-10-12,101.16
Ahmedabad,2021-10-13,101.16
Ahmedabad,2021-10-14,101.5
Ahmedabad,2021-10-15,101.84
Ahmedabad,2021-10-18,102.51
Ahmedabad,2021-10-19,102.51
Ahmedabad,2021-10-20,102.85
Ahmedabad,2021-10-21,103.19
Ahmedabad,2021-10-22,103.53
Ahmedabad,2021-10-23,103.87
Ahmedabad,2021-10-24,104.21
Ahmedabad,2021-10-25,104.21
Ahmedabad,2021-10-26,104.21
Ahmedabad,2021-10-27,104.55
Ahmedabad,2021-10-28,104.88
Ahmedabad,2021-10-29,105.22
Ahmedabad,2021-10-30,105.56
Ahmedabad,2021-10-31,105.9
Ahmedabad,2021-11-01,106.27
Ahmedabad,2021-11-02,106.63
Ahmedabad,2021-11-03,106.63
Ahmedabad,2021-11-04,95.11
Ahmedabad,2021-11-05,95.11
Ahmedabad,2021-11-06,95.11
Ahmedabad,2021-11-07,95.11
Ahmedabad,2021-11-08,95.11
Ahmedabad,2021-11-09,95.11
Ahmedabad,2021-11-10,95.11
Ahmedabad,2021-11-11,95.11
Ahmedabad,2021-11-12,95.11
Ahmedabad,2021-11-13,95.11
Ahmedabad,2021-11-14,95.11
Ahmedabad,2021-11-15,95.11
Ahmedabad,2021-11-16,95.11
Ahmedabad,2021-11-17,95.11
Ahmedabad,2021-11-18,95.11
Ahmedabad,2021-11-19,95.11
Ahmedabad,2021-11-20,95.11
Ahmedabad,2021-11-21,95.11
Ahmedabad,2021-11-22,95.11
Ahmedabad,2021-11-23,95.11
Ahmedabad,2021-11-24,95.11
Ahmedabad,2021-11-25,95.11
Ahmedabad,2021-11-26,95.11
Ahmedabad,2021-11-27,95.11
Ahmedabad,2021-11-28,95.11
Ahmedabad,2021-11-29,95.11
Ahmedabad,2021-11-30,95.11
Ahmedabad,2021-12-02,95.11
Ahmedabad,2021-12-03,95.11
Ahmedabad,2021-12-04,95.11
Ahmedabad,2021-12-05,95.11
Ahmedabad,2021-12-06,95.11
Ahmedabad,2021-12-07,95.11
Ahmedabad,2021-12-08,95.11
Ahmedabad,2021-12-09,95.11
Ahmedabad,2021-12-10,95.11
Ahmedabad,2021-12-11,95.11
Ahmedabad,2021-12-12,95.11
Ahmedabad,2021-12-13,95.11
Ahmedabad,2021-12-14,95.11
Ahmedabad,2021-12-15,95.11
Ahmedabad,2021-12-16,95.11
Ahmedabad,2021-12-17,95.11
Ahmedabad,2021-12-18,95.11
Ahmedabad,2021-12-19,95.11
Ahmedabad,2021-12-20,95.11
Ahmedabad,2021-12-21,95.11
Ahmedabad,2021-12-22,95.11
Ahmedabad,2021-12-23,95.11
Ahmedabad,2021-12-24,95.11
Ahmedabad,2021-12-25,95.11
Ahmedabad,2021-12-26,95.11
Ahmedabad,2021-12-27,95.11
Ahmedabad,2021-12-28,95.11
Ahmedabad,2021-12-29,95.11
Ahmedabad,2021-12-30,95.11
Ahmedabad,2021-12-31,95.11
Ahmedabad,2022-01-01,95.11
Ahmedabad,2022-01-02,95.11
Ahmedabad,2022-01-03,95.11
Ahmedabad,2022-01-04,95.11
Ahmedabad,2022-01-05,95.11
Ahmedabad,2022-01-06,95.11
Ahmedabad,2022-01-07,95.11
Ahmedabad,2022-01-08,95.11
Ahmedabad,2022-01-09,95.11
Ahmedabad,2022-01-10,95.11
Ahmedabad,2022-01-11,95.11
Ahmedabad,2022-01-12,95.11
Ahmedabad,2022-01-13,95.11
Ahmedabad,2022-01-14,95.11
Ahmedabad,2022-01-15,95.11
Ahmedabad,2022-01-16,95.11
Ahmedabad,2022-01-17,95.11
Ahmedabad,2022-01-18,95.11
Ahmedabad,2022-01-19,95.11
Ahmedabad,2022-01-20,95.11
Ahmedabad,2022-01-21,95.11
Ahmedabad,2022-01-22,95.11
Ahmedabad,2022-01-23,95.11
Ahmedabad,2022-01-24,95.11
Ahmedabad,2022-01-25,95.11
Ahmedabad,2022-01-26,95.11
Ahmedabad,2022-01-27,95.11
